"EDC4","EIF2A","GUCY2C","ITGA2","LOC100129066","LOC728743","MED26","PCDHGB5","POT1","SAV1","SFRS17A","SH2B1","SLMAP","SNAI3","TCTE3","TIMM17A","TRIM67"
0.2803,-0.1975,-0.1502,-0.7338,-0.3783,0.3793,0.6439,-0.3742,-0.4722,-0.3115,0.5058,-0.3435,-0.2354,2.7034,-0.4163,0.4787,-0.0968
0.4028,1.781,-0.2035,0.2341,-0.6354,-0.1677,-0.8258,-0.4689,1.6,-0.4904,-0.2664,-0.0113,0.3986,-0.6449,0.5801,1.1658,-0.2356
0.1885,0.8196,-0.2019,0.1514,0.6845,0.412,-0.3551,-0.407,0.2259,0.0656,-0.0292,0.0195,0.5235,-0.5493,-0.557,-0.2236,-0.147
0.9847,2.3727,-0.2027,1.4182,-0.64,-0.7083,-0.5022,1.8776,-0.1975,2.4571,-0.3338,-0.8298,0.1855,-0.8609,-0.0012,-0.6745,-0.1993
0.6825,2.0954,-0.1962,0.0751,-0.0119,-0.2224,0.0246,-0.5914,-0.1284,-0.2053,0.3482,0.0672,0.3109,-0.4544,-0.1415,-0.3269,-0.3736
0.3436,1.4938,-0.2005,-1.0126,-0.0051,1.3495,-0.209,-0.3385,-0.9394,0.633,1.9182,1.0133,-0.3897,0.0665,0.8375,-0.5936,-0.0138
-0.5953,0.7896,-0.1963,-0.2847,-0.5049,-0.1546,0.1082,-0.4313,0.7377,-0.363,-0.1305,0.1899,0.7334,-0.5563,-0.096,-0.0205,-0.1529
0.7065,1.0269,-0.2017,-0.4237,-0.5334,0.0405,1.78,-0.6008,-1.0508,1.0639,0.7873,1.1369,-0.7668,-0.5495,1.5349,0.0162,-0.2637
0.7088,-0.8259,-0.0046,-0.5077,0.1606,0.9197,0.3083,-0.3476,0.6425,-0.0439,0.7018,0.5388,-0.3599,1.5498,1.1381,-0.975,-0.1512
-1.3467,-0.5793,-0.1981,-0.4134,-0.0855,-0.0334,0.1617,-0.5021,1.5544,-0.4823,-0.4644,0.4165,-0.0572,-0.6302,0.4377,-0.787,-0.1393
1.8882,-0.8348,-0.1911,-0.8914,0.1827,1.3218,3.1483,-0.2597,-0.7136,-0.2599,2.9068,0.9769,-0.6752,4.29,1.057,-0.1148,-0.1014
-0.1483,-1.2317,-0.2035,-0.7199,0.6603,-0.2165,1.1394,-0.146,-0.6162,0.2019,0.5152,-0.2356,-0.7787,0.9402,0.0191,0.5584,-0.1696
0.2053,-0.5569,-0.0667,-0.849,-0.2473,1.0979,0.3624,-0.1518,-0.9439,0.2417,0.7745,0.5289,-0.4556,0.4927,0.4208,-0.9291,-0.1366
